Question_1,Question_2,Question_3,Question_4,Question_5,Time_1,Time_2,Time_3,Time_4,Time_5,Total_Marks,Total_Time,Attempted_Correct,Attempted_Incorrect,Unattempted
8.817391304,5.826086957,5.686956522,5.826086957,10,22,65,67,65,5,36.15652174,224,5,0,0
8.4,-1,-1,-1,7.704347826,28,69,15,61,1,18.4,174,2,3,0
9.652173913,-1,-1,7.704347826,10,10,40,20,38,5,27.35652174,113,3,2,0
5.617391304,7.286956522,4.226086957,9.304347826,8.886956522,68,44,88,15,21,35.32173913,236,5,0,0
4.226086957,5.965217391,-1,-1,10,88,63,16,4,4,20.19130435,175,3,2,0
-1,-1,-1,-1,10,19,26,15,12,2,10,74,1,4,0
6.8,-1,-1,-1,-1,51,24,30,23,4,6.8,132,1,4,0
4.434782609,10,-1,9.72173913,9.860869565,85,3,-2,9,7,34.0173913,104,4,0,1
4.226086957,5.965217391,-1,-1,10,88,63,16,4,4,20.19130435,175,3,1,1
10,10,-1,10,-1,2,4,-2,5,3,30,14,3,1,1
9.234782609,9.582608696,9.582608696,-1,-1,16,11,11,-2,6,28.4,44,3,1,1
-1,10,9.026086957,10,-1,5,5,19,3,-2,29.02608696,32,3,1,1
-1,-1,9.72173913,-1,9.373913043,8,2,9,3,14,19.09565217,36,2,3,0
-1,-1,8.608695652,-1,8.886956522,11,21,25,-2,21,17.49565217,78,2,2,1
9.582608695652175,10,-1,-1,10,11,5,5,-2,5,29.582608695652176,26,3,1,1
10,9.860869565217392,10,10,-1,3,7,3,2,-2,39.86086956521739,15,4,0,1
10,10,-1,10,-1,2,2,2,2,-2,30,8,3,1,1
